bird,patch,year
1,10.5,1998
2,10.6,1998
3,8.7,1998
4,8.6,1998
5,9,1998
6,9.3,1998
7,8.9,1998
8,9,1998
9,7.9,1998
10,7.6,1998
11,7.6,1998
12,7.7,1998
13,6.8,1998
14,7.2,1998
15,7.8,1998
16,8.1,1998
17,8.1,1998
18,7.4,1998
19,6.7,1998
20,6.3,1998
21,6.8,1998
22,6.7,1998
23,6.1,1998
24,6.5,1998
25,6.7,1998
26,6.5,1998
27,5.7,1998
28,6.7,1998
29,6.6,1998
30,6.6,1998
1,9.3,1999
2,9.2,1999
3,9.3,1999
4,9.1,1999
5,9,1999
6,8.7,1999
7,8.7,1999
8,7.6,1999
9,8,1999
10,7.8,1999
11,8.1,1999
12,8.1,1999
13,7.9,1999
14,7.5,1999
15,7.1,1999
16,7,1999
17,6.8,1999
18,6.7,1999
19,6.8,1999
20,6.7,1999
21,6.4,1999
22,6.2,1999
23,5.8,1999
24,5.6,1999
25,5.3,1999
26,5,1999
27,5.1,1999
28,7.8,1999
29,7.6,1999
30,7.7,1999
